Calendar Year,Park Name,Cause of Death,Injury Category,Sex,Age Range,Outcome
2007,Yosemite National Park,Fall,Unintentional,Female,35-44,Fatal Injury
2007,Denali National Park & Preserve,Fall,Unintentional,Female,35-44,Fatal Injury
2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Male,55-64,Fatal Injury
2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Male,55-64,Fatal Injury
2007,Grand Teton National Park,Fall,Unintentional,Male,35-44,Fatal Injury
2007,Grand Teton National Park,Fall,Unintentional,Male,25-34,Fatal Injury
2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Big Thicket National Preserve,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Golden Gate National Recreation Area,Fall,Unintentional,Male,25-34,Fatal Injury
2007,Denali National Park & Preserve,Fall,Unintentional,Male,25-34,Fatal Injury
2007,Denali National Park & Preserve,Fall,Unintentional,Male,25-34,Fatal Injury
2007,Golden Gate National Recreation Area,Fall,Unintentional,Male,35-44,Fatal Injury
2007,Denali National Park & Preserve,Fall,Unintentional,Female,35-44,Fatal Injury
2007,Denali National Park & Preserve,Fall,Unintentional,Male,25-34,Fatal Injury
2007,Grand Canyon National Park,Undetermined,Undetermined,Female,55-64,Fatal Injury
2007,Yosemite National Park,Drowning,Unintentional,Male,25-34,Fatal Injury
2007,Cape Hatteras National Seashore,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Gulf Islands National Seashore,"Transportation
(e.g. bicycle, boat)",Unintentional,Female,35-44,Fatal Injury
2007,Olympic National Park,Drowning,Unintentional,Male,45-54,Fatal Injury
2007,Haleakala National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,0-14,Fatal Injury
2007,Acadia National Park,Drowning,Unintentional,Female,55-64,Fatal Injury
2007,Curecanti National Recreation Area,Fall,Unintentional,Male,45-54,Fatal Injury
2007,Lake Mead National Recreation Area,Drowning,Unintentional,Male,35-44,Fatal Injury
2007,Chickasaw National Recreation Area,Drowning,Unintentional,Male,25-34,Fatal Injury
2007,Great Smoky Mountains National Park,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Zion National Park,Fall,Unintentional,Male,45-54,Fatal Injury
2007,Zion National Park,Fall,Unintentional,Male,45-54,Fatal Injury
2007,Golden Gate National Recreation Area,Poisoning,Unintentional,Male,45-54,Fatal Injury
2007,Cape Cod National Seashore,Undetermined,Undetermined,Male,55-64,Fatal Injury
2007,Sequoia & Kings Canyon National Parks,Fall,Unintentional,Male,15-24,Fatal Injury
2007,Lake Meredith National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Lake Mead National Recreation Area,Fall,Unintentional,Male,25-34,Fatal Injury
2007,Yosemite National Park,Fall,Unintentional,Male,35-44,Fatal Injury
2007,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Male,55-64,Fatal Injury
2007,Mount Rainier National Park,Fall,Unintentional,Male,45-54,Fatal Injury
2007,Point Reyes National Seashore,Drowning,Unintentional,Male,25-34,Fatal Injury
2007,Golden Gate National Recreation Area,Poisoning,Unintentional,Male,Undetermined,Fatal Injury
2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Mount Rainier National Park,Fall,Unintentional,Male,45-54,Fatal Injury
2007,Apostle Islands National Lakeshore,Drowning,Unintentional,Male,55-64,Fatal Injury
2007,Whiskeytown National Recreation Area,Drowning,Unintentional,Female,0-14,Fatal Injury
2007,Cape Hatteras National Seashore,Drowning,Unintentional,Male,45-54,Fatal Injury
2007,Cape Hatteras National Seashore,Drowning,Unintentional,Male,35-44,Fatal Injury
2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Female,Undetermined,Fatal Injury
2007,Delaware Water Gap National Recreation Area,Fall,Unintentional,Female,35-44,Fatal Injury
2007,Buffalo National River,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Glen Canyon National Recreation Area,Poisoning,Unintentional,Female,0-14,Fatal Injury
2007,Lake Mead National Recreation Area,Drowning,Unintentional,Male,25-34,Fatal Injury
2007,Channel Islands National Park,Drowning,Unintentional,Male,45-54,Fatal Injury
2007,Yosemite National Park,Undetermined,Undetermined,Male,45-54,Fatal Injury
2007,National Capital Parks-East,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Colonial National Historical Park,Drowning,Unintentional,Female,0-14,Fatal Injury
2007,Cape Hatteras National Seashore,Drowning,Unintentional,Male,25-34,Fatal Injury
2007,North Cascades National Park,Fall,Unintentional,Female,55-64,Fatal Injury
2007,Grand Canyon National Park,Fall,Unintentional,Male,25-34,Fatal Injury
2007,Badlands National Park,Motor Vehicle Crash,Unintentional,Male,Undetermined,Fatal Injury
2007,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Cape Hatteras National Seashore,Drowning,Unintentional,Male,45-54,Fatal Injury
2007,Wind Cave National Park,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Gauley River National Recreation Area,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2007,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Male,55-64,Fatal Injury
2007,Yosemite National Park,Environmental,Unintentional,Female,65+,Fatal Injury
2007,Haleakala National Park,Motor Vehicle Crash,Unintentional,Female,55-64,Fatal Injury
2007,Haleakala National Park,Motor Vehicle Crash,Unintentional,Male,45-54,Fatal Injury
2007,Haleakala National Park,Motor Vehicle Crash,Unintentional,Undetermined,65+,Fatal Injury
2007,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Male,65+,Fatal Injury
2007,Grand Canyon National Park,Fall,Unintentional,Female,Undetermined,Fatal Injury
2007,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Glen Canyon National Recreation Area,Other,Unintentional,Male,Undetermined,Fatal Injury
2007,Sequoia & Kings Canyon National Parks,Fall,Unintentional,Male,35-44,Fatal Injury
2007,Cape Hatteras National Seashore,Drowning,Unintentional,Male,45-54,Fatal Injury
2007,Glen Canyon National Recreation Area,Undetermined,Undetermined,Male,15-24,Fatal Injury
2007,Point Reyes National Seashore,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2007,Glen Canyon National Recreation Area,Drowning,Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Male,45-54,Fatal Injury
2007,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Male,55-64,Fatal Injury
2007,Yellowstone National Park,Drowning,Unintentional,Male,65+,Fatal Injury
2007,Yellowstone National Park,Drowning,Unintentional,Male,65+,Fatal Injury
2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Male,65+,Fatal Injury
2007,Glen Echo Park,Drowning,Unintentional,Male,55-64,Fatal Injury
2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Female,15-24,Fatal Injury
2007,Lake Mead National Recreation Area,Drowning,Unintentional,Male,35-44,Fatal Injury
2007,Biscayne National Park,Undetermined,Undetermined,Male,Undetermined,Fatal Injury
2007,Haleakala National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Female,65+,Fatal Injury
2007,Glen Canyon National Recreation Area,Drowning,Unintentional,Female,55-64,Fatal Injury
2007,Yellowstone National Park,Fall,Unintentional,Female,25-34,Fatal Injury
2007,Lake Mead National Recreation Area,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2007,New River Gorge National River,Fall,Unintentional,Male,15-24,Fatal Injury
2007,New River Gorge National River,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2007,Katmai National Park & Preserve,"Transportation
(e.g. bicycle, boat)",Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Katmai National Park & Preserve,"Transportation
(e.g. bicycle, boat)",Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Katmai National Park & Preserve,"Transportation
(e.g. bicycle, boat)",Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Katmai National Park & Preserve,"Transportation
(e.g. bicycle, boat)",Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Gauley River National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Haleakala National Park,Fall,Unintentional,Male,25-34,Fatal Injury
2007,Glen Canyon National Recreation Area,Drowning,Unintentional,Female,0-14,Fatal Injury
2007,Grand Canyon National Park,Fall,Unintentional,Female,0-14,Fatal Injury
2007,Gila Cliff Dwellings National Monument,Undetermined,Undetermined,Male,25-34,Fatal Injury
2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Male,65+,Fatal Injury
2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2007,Cape Lookout National Seashore,Drowning,Unintentional,Male,65+,Fatal Injury
2007,Yosemite National Park,Environmental,Unintentional,Male,35-44,Fatal Injury
2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Male,45-54,Fatal Injury
2007,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2007,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Male,25-34,Fatal Injury
2007,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Female,Undetermined,Fatal Injury
2007,Rocky Mountain National Park,Undetermined,Undetermined,Male,65+,Fatal Injury
2007,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2007,Mount Rainier National Park,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2007,Mount Rainier National Park,Environmental,Unintentional,Male,15-24,Fatal Injury
2007,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Male,35-44,Fatal Injury
2007,Death Valley National Park,Motor Vehicle Crash,Unintentional,Undetermined,25-34,Fatal Injury
2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Female,15-24,Fatal Injury
2008,Biscayne National Park,Drowning,Unintentional,Male,45-54,Fatal Injury
2008,Sequoia & Kings Canyon National Parks,Environmental,Unintentional,Male,35-44,Fatal Injury
2008,Sequoia & Kings Canyon National Parks,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,Chickamauga & Chattanooga National Military Park,Other,Unintentional,Female,55-64,Fatal Injury
2008,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2008,Lake Mead National Recreation Area,Undetermined,Undetermined,Undetermined,35-44,Fatal Injury
2008,Yosemite National Park,Fall,Unintentional,Male,0-14,Fatal Injury
2008,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Male,65+,Fatal Injury
2008,Lake Mead National Recreation Area,Drowning,Unintentional,Male,55-64,Fatal Injury
2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Male,55-64,Fatal Injury
2008,Haleakala National Park,Poisoning,Unintentional,Male,15-24,Fatal Injury
2008,Gateway National Recreation Area,Other,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,Gateway National Recreation Area,Other,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,Grand Canyon National Park,Drowning,Unintentional,Male,45-54,Fatal Injury
2008,Mount Rainier National Park,Undetermined,Undetermined,Male,45-54,Fatal Injury
2008,Shenandoah National Park,Undetermined,Undetermined,Male,Undetermined,Fatal Injury
2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2008,Golden Gate National Recreation Area,Fall,Unintentional,Female,15-24,Fatal Injury
2008,Little River Canyon National Preserve,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,35-44,Fatal Injury
2008,Suitland,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,Suitland,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,North Cascades National Park,Undetermined,Undetermined,Male,25-34,Fatal Injury
2008,Suitland,Undetermined,Undetermined,Male,15-24,Fatal Injury
2008,Big Thicket National Preserve,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,Buffalo National River,Drowning,Unintentional,Male,0-14,Fatal Injury
2008,Pinnacles National Park,Motor Vehicle Crash,Unintentional,Male,Undetermined,Fatal Injury
2008,Chickasaw National Recreation Area,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,15-24,Fatal Injury
2008,North Cascades National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,55-64,Fatal Injury
2008,North Cascades National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,65+,Fatal Injury
2008,Redwood National and State Parks,Drowning,Unintentional,Male,35-44,Fatal Injury
2008,New River Gorge National River,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2008,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Male,Undetermined,Fatal Injury
2008,New River Gorge National River,Drowning,Unintentional,Male,65+,Fatal Injury
2008,George Washington Memorial Parkway,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Male,65+,Fatal Injury
2008,Lake Mead National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Female,25-34,Fatal Injury
2008,Curecanti National Recreation Area,Drowning,Unintentional,Male,55-64,Fatal Injury
2008,Lake Mead National Recreation Area,Drowning,Unintentional,Male,45-54,Fatal Injury
2008,Little River Canyon National Preserve,Drowning,Unintentional,Female,0-14,Fatal Injury
2008,Canyonlands National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,65+,Fatal Injury
2008,Canyonlands National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,45-54,Fatal Injury
2008,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Male,65+,Fatal Injury
2008,Gulf Islands National Seashore,Drowning,Unintentional,Female,45-54,Fatal Injury
2008,Buffalo National River,Drowning,Unintentional,Female,35-44,Fatal Injury
2008,Canyonlands National Park,Fall,Unintentional,Male,55-64,Fatal Injury
2008,Lake Mead National Recreation Area,Drowning,Unintentional,Female,45-54,Fatal Injury
2008,Mount Rainier National Park,Undetermined,Undetermined,Male,25-34,Fatal Injury
2008,Rocky Mountain National Park,Fall,Unintentional,Male,65+,Fatal Injury
2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Male,25-34,Fatal Injury
2008,Mount Rainier National Park,Environmental,Unintentional,Male,25-34,Fatal Injury
2008,Chattahoochee River National Recreation Area,Drowning,Unintentional,Male,25-34,Fatal Injury
2008,Canyonlands National Park,Fall,Unintentional,Male,65+,Fatal Injury
2008,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Male,Undetermined,Fatal Injury
2008,Glen Canyon National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,Saguaro National Park,Motor Vehicle Crash,Unintentional,Male,Undetermined,Fatal Injury
2008,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,Glen Canyon National Recreation Area,Poisoning,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,Glen Canyon National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,Golden Gate National Recreation Area,Drowning,Unintentional,Male,25-34,Fatal Injury
2008,Mammoth Cave National Park,Motor Vehicle Crash,Unintentional,Female,35-44,Fatal Injury
2008,Lake Mead National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,Saguaro National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,35-44,Fatal Injury
2008,Mount Rainier National Park,Fall,Unintentional,Male,15-24,Fatal Injury
2008,Denali National Park & Preserve,Fall,Unintentional,Male,45-54,Fatal Injury
2008,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Male,25-34,Fatal Injury
2008,Lake Mead National Recreation Area,Drowning,Unintentional,Male,45-54,Fatal Injury
2008,Denali National Park & Preserve,Fall,Unintentional,Male,15-24,Fatal Injury
2008,Big South Fork National River and Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,Golden Gate National Recreation Area,Drowning,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Undetermined,Fatal Injury
2008,Indiana Dunes National Park,Drowning,Unintentional,Male,0-14,Fatal Injury
2008,Grand Teton National Park,Fall,Unintentional,Male,55-64,Fatal Injury
2008,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Male,45-54,Fatal Injury
2008,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,Gateway National Recreation Area,Motor Vehicle Crash,Unintentional,Male,35-44,Fatal Injury
2008,North Cascades National Park,Fall,Unintentional,Female,45-54,Fatal Injury
2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Male,35-44,Fatal Injury
2008,Dinosaur National Monument,Drowning,Unintentional,Male,0-14,Fatal Injury
2008,Gateway National Recreation Area,Motor Vehicle Crash,Unintentional,Male,35-44,Fatal Injury
2008,Indiana Dunes National Park,Drowning,Unintentional,Male,0-14,Fatal Injury
2008,Grand Canyon National Park,Fall,Unintentional,Male,15-24,Fatal Injury
2008,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2008,Grand Teton National Park,Fall,Unintentional,Male,55-64,Fatal Injury
2008,Golden Gate National Recreation Area,Undetermined,Undetermined,Male,65+,Fatal Injury
2008,Great Falls Park,Drowning,Unintentional,Male,45-54,Fatal Injury
2008,Glacier National Park,Environmental,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,Lassen Volcanic National Park,Motor Vehicle Crash,Unintentional,Undetermined,55-64,Fatal Injury
2008,Great Smoky Mountains National Park,Drowning,Unintentional,Male,25-34,Fatal Injury
2008,Lassen Volcanic National Park,Motor Vehicle Crash,Unintentional,Male,55-64,Fatal Injury
2008,Grand Canyon National Park,Fall,Unintentional,Male,55-64,Fatal Injury
2008,Lake Mead National Recreation Area,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2008,New River Gorge National River,Drowning,Unintentional,Male,25-34,Fatal Injury
2008,Cape Hatteras National Seashore,Drowning,Unintentional,Male,45-54,Fatal Injury
2008,Mojave National Preserve,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2008,Yosemite National Park,Motor Vehicle Crash,Unintentional,Male,45-54,Fatal Injury
2008,Glen Canyon National Recreation Area,Environmental,Unintentional,Male,55-64,Fatal Injury
2008,Glen Canyon National Recreation Area,Environmental,Unintentional,Female,55-64,Fatal Injury
2008,Great Falls Park,Drowning,Unintentional,Undetermined,Undetermined,Fatal Injury
2008,Glen Canyon National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,Indiana Dunes National Park,Drowning,Unintentional,Female,0-14,Fatal Injury
2008,Big Thicket National Preserve,Motor Vehicle Crash,Unintentional,Undetermined,45-54,Fatal Injury
2008,Shenandoah National Park,Undetermined,Undetermined,Male,45-54,Fatal Injury
2008,Rocky Mountain National Park,Fall,Unintentional,Male,35-44,Fatal Injury
2008,Gauley River National Recreation Area,Drowning,Unintentional,Female,55-64,Fatal Injury
2008,Lake Mead National Recreation Area,Drowning,Unintentional,Male,15-24,Fatal Injury
2008,National Mall & Memorial Parks,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,15-24,Fatal Injury
2008,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Male,45-54,Fatal Injury
2008,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Female,15-24,Fatal Injury
2008,Redwood National and State Parks,Fall,Unintentional,Female,15-24,Fatal Injury
2008,Golden Gate National Recreation Area,Fall,Unintentional,Male,25-34,Fatal Injury
2008,Zion National Park,Fall,Unintentional,Male,25-34,Fatal Injury
2008,Glacier National Park,Fall,Unintentional,Male,Undetermined,Fatal Injury
2008,Buffalo National River,Other,Unintentional,Male,25-34,Fatal Injury
2008,Great Smoky Mountains National Park,Fall,Unintentional,Male,25-34,Fatal Injury
2008,Golden Gate National Recreation Area,Undetermined,Undetermined,Male,Undetermined,Fatal Injury
2008,Lake Mead National Recreation Area,Fall,Unintentional,Male,35-44,Fatal Injury
2008,Amistad National Recreation Area,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Female,25-34,Fatal Injury
2008,Zion National Park,Fall,Unintentional,Male,55-64,Fatal Injury
2008,Zion National Park,Fall,Unintentional,Male,55-64,Fatal Injury
2008,Amistad National Recreation Area,Drowning,Unintentional,Male,35-44,Fatal Injury
2008,Gateway National Recreation Area,Environmental,Unintentional,Male,55-64,Fatal Injury
2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Male,55-64,Fatal Injury
2008,Harpers Ferry National Historical Park,Undetermined,Undetermined,Female,65+,Fatal Injury
2008,Cuyahoga Valley National Park,Motor Vehicle Crash,Unintentional,Male,35-44,Fatal Injury
2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2009,Golden Gate National Recreation Area,Environmental,Unintentional,Female,65+,Fatal Injury
2009,Lake Mead National Recreation Area,Drowning,Unintentional,Male,65+,Fatal Injury
2009,Lake Mead National Recreation Area,Drowning,Unintentional,Male,65+,Fatal Injury
2009,Hawaii Volcanoes National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,65+,Fatal Injury
2009,Hawaii Volcanoes National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,65+,Fatal Injury
2009,Chesapeake & Ohio Canal National Historical Park,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2009,Voyageurs National Park,Motor Vehicle Crash,Unintentional,Male,25-34,Fatal Injury
2009,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Undetermined,Fatal Injury
2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Undetermined,Undetermined,Fatal Injury
2009,Great Smoky Mountains National Park,Other,Unintentional,Male,55-64,Fatal Injury
2009,Grand Canyon National Park,Undetermined,Undetermined,Undetermined,Undetermined,Fatal Injury
2009,Golden Gate National Recreation Area,Drowning,Unintentional,Male,45-54,Fatal Injury
2009,Golden Gate National Recreation Area,Drowning,Unintentional,Male,45-54,Fatal Injury
2009,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Male,35-44,Fatal Injury
2009,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2009,Golden Gate National Recreation Area,Fall,Unintentional,Male,45-54,Fatal Injury
2009,Hot Springs National Park,Motor Vehicle Crash,Unintentional,Male,45-54,Fatal Injury
2009,Chattahoochee River National Recreation Area,Undetermined,Undetermined,Male,45-54,Fatal Injury
2009,Joshua Tree National Park,Fall,Unintentional,Male,65+,Fatal Injury
2009,Grand Canyon National Park,Undetermined,Undetermined,Male,Undetermined,Fatal Injury
2009,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Male,55-64,Fatal Injury
2009,Great Falls Park,Drowning,Unintentional,Undetermined,Undetermined,Fatal Injury
2009,Biscayne National Park,Drowning,Unintentional,Female,0-14,Fatal Injury
2009,Biscayne National Park,Drowning,Unintentional,Male,45-54,Fatal Injury
2009,Saint Croix National Scenic Riverway,Drowning,Unintentional,Male,45-54,Fatal Injury
2009,Great Smoky Mountains National Park,Fall,Unintentional,Male,65+,Fatal Injury
2009,Golden Gate National Recreation Area,Undetermined,Undetermined,Male,45-54,Fatal Injury
2009,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Female,45-54,Fatal Injury
2009,Gulf Islands National Seashore,Drowning,Unintentional,Male,55-64,Fatal Injury
2009,Glen Canyon National Recreation Area,Drowning,Unintentional,Female,Undetermined,Fatal Injury
2009,Glen Canyon National Recreation Area,Drowning,Unintentional,Female,Undetermined,Fatal Injury
2009,Glen Canyon National Recreation Area,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2009,Glen Canyon National Recreation Area,Drowning,Unintentional,Female,Undetermined,Fatal Injury
